tag,sp,quadrat,dbh,hom,Height (m),Notes
070818,LIST2,0716,320,,31.0,
070850,FAGR,0716,545,,21.5,
070852,LIST2,0716,442,,31.8,
070882,CACO15,0717,121.5,1.37,25.3,
070892,QUSH,0717,660,1.37,37.1,
070903,LIBE3,0717,17,1.37,,missing
070915,LIBE3,0717,10.2,1.37,1.0,
070927,QUSH,0718,452,1.37,31.3,
070938,OSVI,0718,58.5,1.37,9.4,
070949,FOLI,0718,24.3,1.37,1.7,
070960,QUAL,0718,371,1.37,27.9,
070970,OSVI,0718,96,1.37,16.0,
070996,MAAC,0718,304,1.37,28.6,
071006,ACSA3,0719,39.5,1.37,7.1,
071016,ACSA3,0719,95,1.37,11.4,
071031,LIBE3,0719,11.5,1.32,,fallen and dead
071044,FRQU,0719,13.5,1.37,,missing
081004,ACSA3C,0815,43,1.37,6.3,
081015,LIBE3,0815,12.3,1.37,,dead
081028,AESCU,0815,11.1,1.37,3.9,
081039,ACSA3C,0816,364,1.37,25.5,
081049,LIBE3,0816,14.6,1.37,1.6,
081052,FAGR,0816,355,,36.0,
081060,AEFL,0816,530,1.37,32.0,
081066,FAGR,0817,355,,33.7,
081071,LIBE3,0817,19.5,1.37,2.7,
081086,ULRU,0817,184,1.37,22.7,
081088,LIST2,0817,486,,39.2,
081096,OSVI,0817,40,1.37,6.2,
081107,LITU,0818,328,,31.6,
081108,ACSA3C,0818,66,1.37,8.1,
081119,ACSA3C,0818,91,1.37,17.6,
081129,ACSA3C,0818,64,1.37,9.3,
081141,LIBE3,0818,22,1.39,2.7,suspected dead
081158,ASTR,0818,17,1.37,4.4,
081163,FAGR,0818,786,,38.0,
091101,LIST2,0914,395,,26.7,
091147,LIST2,0914,395,,29.3,
091162,LIST2,0914,480,,27.2,
091173,CELA,0915,36,1.37,5.0,
091185,LITU,0915,552,,34.9,
091186,TIAM,0915,77,1.37,7.6,
091196,ACSA3C,0915,90,1.3,11.7,
091201,LITU,0915,618,,33.3,
091206,FRAMCO,0915,449,1.37,32.6,
091218,MAAC,0915,783,1.37,29.8,
091228,ACSA3C,0916,84,1.35,9.2,
091238,FAGR,0916,230,1.42,24.8,
091240,FAGR,0916,350,,36.4,
091250,ACSA3C,0916,83,1.37,9.5,
091261,ACSA3C,0917,244,1.37,23.6,
091272,MAAC,0917,474,1.37,28.0,
091284,ACSA3C,0917,65,1.37,10.0,suspected dead
091295,TIAM,0917,62,1.37,7.7,
101152,ACNE2,1013,281,1.37,23.0,
101165,LIBE3,1013,23.5,1.37,2.0,
101176,CACA18,1014,132,1.37,6.3,
101183,LITU,1014,582.5,,27.3,
101189,LIBE3,1014,22.2,1.37,3.0,
101201,LIBE3,1014,15.3,1.35,3.8,
101213,LIBE3,1014,11.4,1.37,2.0,
101224,LIBE3,1014,11.4,1.37,1.7,
101235,LIBE3,1015,14.3,1.37,2.0,
101245,ACSA3,1015,301,,18.3,
101248,ACSA3,1015,181,1.37,14.0,
101262,AEFL,1015,22.1,1.37,3.9,
101268,LITU,1015,303,,21.2,
101275,ACSA3,1015,35,1.35,1.7,leaning
101294,LIBE3,1015,15.1,1.37,2.0,
101312,LIBE3,1016,13.8,1.32,3.1,
101328,LIBE3,1016,15.5,1.37,2.9,
101341,ACNE2,1016,15.6,1.37,2.0,
101353,VIRU,1016,13,1.37,3.1,
101364,FAGR,1016,46,1.37,4.2,
101365,LIST2,1016,531,,34.6,
101374,FRAMCO,1016,360,1.37,20.6,
101385,TIAM,1016,154,1.37,10.0,
110901,OSVI,1112,63,1.37,6.0,
110914,CELA,1112,288,1.37,12.1,
110926,ACNE2,1112,74,1.37,4.3,
110936,ACSA3,1112,461,,20.9,
110938,CACA18,1112,92,1.37,6.7,
110949,LITU,1112,468,1.37,37.3,
110959,TIAM,1112,18.6,1.37,3.7,
110974,ULAL,1113,26.2,1.37,2.2,
110992,LIBE3,1113,14,1.37,1.9,
111010,JUNI,1113,220,1.37,16.5,
111022,AESCU,1113,12.2,1.32,1.7,
111034,CACA18,1114,76,1.32,7.3,
111043,LITU,1114,464,,36.3,
111044,CACA18,1114,48,1.37,4.9,
111045,LITU,1114,399,,31.1,
111055,LIBE3,1115,19.3,1.37,1.7,
111066,ACNE2,1115,50,1.42,,dead
120723,VIRU,1211,101,1.37,6.9,
120734,CACA18,1211,85,1.51,9.9,
120745,AESCU,1211,45,1.39,4.1,
120755,AEFL,1211,222,1.37,9.6,
120765,ULAL,1211,48,1.37,25.0,
120777,AEFL,1211,189,1.37,10.7,
120788,VIRU,1211,55,1.37,4.6,
120805,CACA18,1212,49.5,1.37,4.5,
120815,QUAL,1212,625,,35.5,
120816,FAGR,1212,45,1.37,4.2,
120827,LIBE3,1212,13.4,1.37,1.7,
120842,LIBE3,1212,10.2,1.37,1.7,
120847,LITU,1212,384,,30.2,
120852,LIBE3,1212,22.5,1.37,3.0,
120867,LIBE3,1212,11.9,1.37,1.7,
120879,LIST2,1213,349,,20.5,
